player_id,player_name,red_zone_touches,goal_line_touches,total_touches,red_zone_share,goal_line_share
00-0035500,G.Dortch,10.0,2.0,55.0,0.18181818181818182,0.03636363636363636
00-0029263,R.Wilson,10.0,3.0,46.0,0.21739130434782608,0.06521739130434782
00-0039064,Z.Flowers,10.0,1.0,126.0,0.07936507936507936,0.007936507936507936
00-0036196,G.Davis,10.0,4.0,42.0,0.23809523809523808,0.09523809523809523
00-0036182,N.Westbrook-Ikhine,10.0,3.0,60.0,0.16666666666666666,0.05
00-0035628,D.Johnson,10.0,1.0,51.0,0.19607843137254902,0.0196078431372549
00-0035640,D.Metcalf,10.0,5.0,109.0,0.09174311926605505,0.045871559633027525
00-0034837,C.Ridley,10.0,3.0,128.0,0.078125,0.0234375
00-0034855,B.Mayfield,10.0,2.0,67.0,0.14925373134328357,0.029850746268656716
00-0037261,K.Shakir,10.0,1.0,122.0,0.08196721311475409,0.00819672131147541
00-0036637,N.Gray,10.0,2.0,54.0,0.18518518518518517,0.037037037037037035
00-0034829,M.Gesicki,10.0,3.0,83.0,0.12048192771084337,0.03614457831325301
00-0034270,T.Conklin,10.0,6.0,74.0,0.13513513513513514,0.08108108108108109
00-0038619,A.Iosivas,10.0,5.0,61.0,0.16393442622950818,0.08196721311475409
00-0038933,D.Kincaid,10.0,0.0,84.0,0.11904761904761904,0.0
00-0032211,T.Lockett,10.0,3.0,74.0,0.13513513513513514,0.04054054054054054
00-0036427,T.Johnson,10.0,2.0,41.0,0.24390243902439024,0.04878048780487805
00-0038124,C.Watson,10.0,3.0,58.0,0.1724137931034483,0.05172413793103448
00-0039163,C.Stroud,10.0,2.0,65.0,0.15384615384615385,0.03076923076923077
00-0033375,T.Patrick,10.0,4.0,49.0,0.20408163265306123,0.08163265306122448
00-0039150,B.Young,10.0,3.0,43.0,0.23255813953488372,0.06976744186046512
00-0033282,C.Samuel,9.0,3.0,60.0,0.15,0.05
00-0036924,M.Carter,9.0,3.0,46.0,0.1956521739130435,0.06521739130434782
00-0039855,J.McMillan,9.0,1.0,66.0,0.13636363636363635,0.015151515151515152
00-0037614,J.Metchie,9.0,2.0,47.0,0.19148936170212766,0.0425531914893617
00-0036988,J.Palmer,9.0,3.0,67.0,0.13432835820895522,0.04477611940298507
00-0038606,P.Washington,9.0,3.0,53.0,0.16981132075471697,0.05660377358490566
00-0035229,T.Hockenson,9.0,1.0,67.0,0.13432835820895522,0.014925373134328358
00-0032392,A.Hooper,9.0,1.0,59.0,0.15254237288135594,0.01694915254237288
00-0039916,R.Pearsall,9.0,2.0,50.0,0.18,0.04
00-0037291,J.Nailor,9.0,4.0,50.0,0.18,0.08
00-0034981,F.Moreau,9.0,2.0,43.0,0.20930232558139536,0.046511627906976744
00-0031236,B.Cooks,9.0,5.0,57.0,0.15789473684210525,0.08771929824561403
00-0039890,A.Mitchell,9.0,0.0,59.0,0.15254237288135594,0.0
00-0039868,T.Franklin,8.0,1.0,58.0,0.13793103448275862,0.017241379310344827
00-0036040,J.Johnson,8.0,3.0,68.0,0.11764705882352941,0.04411764705882353
00-0037120,T.Goodson,8.0,2.0,47.0,0.1702127659574468,0.0425531914893617
00-0036415,V.Jefferson,8.0,2.0,42.0,0.19047619047619047,0.047619047619047616
00-0039738,B.Corum,8.0,5.0,66.0,0.12121212121212122,0.07575757575757576
00-0036355,J.Herbert,8.0,4.0,70.0,0.11428571428571428,0.05714285714285714
00-0035535,D.Slayton,8.0,1.0,74.0,0.10810810810810811,0.013513513513513514
00-0034159,W.Dissly,8.0,1.0,69.0,0.11594202898550725,0.014492753623188406
00-0033009,T.Boyd,8.0,4.0,59.0,0.13559322033898305,0.06779661016949153
00-0037801,K.Turpin,8.0,2.0,68.0,0.11764705882352941,0.029411764705882353
00-0038559,Mi.Wilson,8.0,1.0,72.0,0.1111111111111111,0.013888888888888888
00-0038563,T.Tucker,8.0,1.0,90.0,0.08888888888888889,0.011111111111111112
00-0034383,D.Schultz,8.0,0.0,93.0,0.08602150537634409,0.0
00-0030035,A.Thielen,8.0,0.0,62.0,0.12903225806451613,0.0
